name,author,translator,publisher
برنامه ریزی در ایران ۱۳۵۶ - ۱۳۱۶,مسعود نیلی $ محسن کریمی,,نشر نی
حومه سکوت,مریم عزیزی,,نشر افق
برادران کارامازف (دو جلدی),فئودور داستایفسکی,اصغر رستگار,انتشارات نگاه
مغز کودک من، از یک سالگی تا چهارسالگی,طاهره  مهدوی حاجی,,انتشارات مهرسا
فوبیا,ایوان وارد,رضا ستوده,انتشارات نگاه
اعتماد - ۱۳۹۵ پنج شنبه ۲۵ آذر,,,روزنامه اعتماد
سنگی بر روی بافه,علی‌محمد افغانی,,انتشارات نگاه
موجی از خزر,محمدعلی صالحی,,نشر ورسه
مردم گیاه,پیمان متین,,انتشارات فرهامه
اصل گرایی,گرگ مک کیون,زهرا ایجادی,نشر مات
خفاش,یو نسبو,عباس کریمی عباسی,انتشارات چترنگ
قهرمان گمشده,ریک ریوردن,فرزام حبیبی اصفهانی,انتشارات بهنام
زندگی خود را دوباره بیافرینید,جفری ای. یانگ $ ژانت کلوسکو,تکتم سعیدنیا,آرایان
رنگ خورشید,دیوید آلموند,شهلا انتظاریان,ایران‌بان
سفر پر رمز و راز کایوت سانرایز,دن گماین هارت,نوشین دیانتی,ایران‌بان
۲۶۶۶,روبرتو بولانیو,محمد جوادی,انتشارات کتابسرای تندیس
وقایع اتفاقیه - ۱۳۹۵/۰۹/۲۵,,,روزنامه وقایع اتفاقیه
غول اسپاگتی,کیت پنکهرست,ریحانه جعفری,نشر افق
سفرنامه پولاک,یاکوب ادوارد پولاک,کیکاووس جهانداری,انتشارات خوارزمی
ابله,فئودور داستایفسکی,مهری آهی,انتشارات خوارزمی
سرهم بندی نکن!,گری هیدن,شهاب الدین عباسی,نشر خزه
ماجراهای تام سایر,مارک تواین,احمد کسایی پور,كارنامه
شاه حافظه,بهمن شاه بابایی,,انتشارات نسل نواندیش
حالا کی قراره ظرفارو بشوره؟,ماتئی ویسنی یک,ملیحه بهارلو,انتشارات کتاب فانوس
جادوی فکر بزرگ,دیوید شوارتز,غلامحسین علی مازندرانی,آرایان
رنگ آمیزی شاهزادگان دیسنی,مجموعه نويسندگان,,حوض نقره
